Formula,avg % of optimum found,exact optimums found,blunders
wuf20-0364.mwcnf,60.321951219512194,27,0
wuf20-0126.mwcnf,56.15929411764706,21,0
wuf20-0712.mwcnf,100.0,100,0
wuf20-0429.mwcnf,61.82702702702702,3,0
wuf20-0963.mwcnf,35.82286146858441,6,0
wuf20-0273.mwcnf,67.90149257582208,7,0
wuf20-0256.mwcnf,68.55250073120796,2,0
wuf20-0473.mwcnf,49.58864027538726,4,0
wuf20-0444.mwcnf,44.509130716027265,31,0
wuf20-0640.mwcnf,74.22832637923041,8,0
wuf20-0692.mwcnf,54.422794117647065,23,0
wuf20-0923.mwcnf,57.928405122235155,7,0
wuf20-0369.mwcnf,69.84172661870504,68,0
wuf20-045.mwcnf,67.92790697674418,48,0
wuf20-0435.mwcnf,100.0,100,0
wuf20-043.mwcnf,55.03669724770643,49,0
wuf20-0973.mwcnf,36.18543046357616,34,0
wuf20-0594.mwcnf,100.0,100,0
wuf20-0304.mwcnf,57.88582966226138,10,0
wuf20-0980.mwcnf,99.85714285714286,99,0
wuf20-0650.mwcnf,43.996964522860935,6,0
wuf20-0730.mwcnf,75.93823711980137,4,0
wuf20-0299.mwcnf,86.8137321549966,45,0
wuf20-0145.mwcnf,63.352904434728295,23,0
wuf20-0932.mwcnf,50.5189620758483,5,0
wuf20-0611.mwcnf,80.21211653789163,41,0
wuf20-0725.mwcnf,100.0,100,0
wuf20-0744.mwcnf,85.31031506258093,26,0
wuf20-0762.mwcnf,50.310130944176436,24,0
wuf20-0733.mwcnf,100.0,100,0
wuf20-0915.mwcnf,54.412835249042146,10,0
wuf20-0905.mwcnf,56.97973568281938,6,0
wuf20-0524.mwcnf,100.0,100,0
wuf20-0791.mwcnf,100.0,100,0
wuf20-0629.mwcnf,48.88452088452089,9,0
wuf20-0387.mwcnf,22.341794569067297,3,0
wuf20-017.mwcnf,55.28729874776386,25,0
wuf20-0312.mwcnf,100.0,100,0
wuf20-024.mwcnf,82.32285115303984,38,0
wuf20-0129.mwcnf,65.88836583725622,27,0
wuf20-0227.mwcnf,47.64784946236559,1,0
wuf20-0968.mwcnf,60.49182515849182,11,0
wuf20-0348.mwcnf,40.5,32,0
wuf20-0987.mwcnf,58.763661202185794,5,0
wuf20-0829.mwcnf,31.877931034482756,6,0
wuf20-0743.mwcnf,52.23188405797102,26,0
wuf20-0995.mwcnf,45.94444444444444,34,0
wuf20-0505.mwcnf,89.68551236749116,37,0
wuf20-0391.mwcnf,71.08445297504798,24,0
wuf20-0756.mwcnf,44.98581805603598,5,0
wuf20-0357.mwcnf,67.62012649863117,64,0
wuf20-0168.mwcnf,70.54312743461324,36,0
wuf20-0731.mwcnf,54.3168044077135,27,0
wuf20-0721.mwcnf,47.103639899972215,5,0
wuf20-0914.mwcnf,42.178217821782184,40,0
wuf20-0941.mwcnf,55.01768793430196,9,0
wuf20-0839.mwcnf,75.22797313314895,42,0
wuf20-028.mwcnf,47.00729927007299,24,0
wuf20-0658.mwcnf,47.9137187230371,35,0
wuf20-0235.mwcnf,40.48401598401598,14,0
wuf20-0528.mwcnf,100.0,100,0
wuf20-0991.mwcnf,56.13062448868284,4,0
wuf20-0944.mwcnf,49.518644067796615,49,0
wuf20-0734.mwcnf,44.8998833592535,4,0
wuf20-0105.mwcnf,100.0,100,0
wuf20-0695.mwcnf,30.922382671480147,29,0
wuf20-0913.mwcnf,49.151803607214426,16,0
wuf20-0282.mwcnf,50.66774979691308,29,0
wuf20-0314.mwcnf,68.85703630034808,4,0
wuf20-0886.mwcnf,72.46127946127946,38,0
wuf20-0156.mwcnf,70.03088900050226,26,0
wuf20-06.mwcnf,44.122018348623854,17,0
wuf20-0117.mwcnf,21.76904176904177,20,0
wuf20-059.mwcnf,100.0,100,0
wuf20-0593.mwcnf,53.37185056472633,44,0
wuf20-0116.mwcnf,68.1996989463121,44,0
wuf20-0355.mwcnf,56.622950819672134,32,0
wuf20-0478.mwcnf,62.25949367088608,15,0
wuf20-0183.mwcnf,84.07289719626169,18,0
wuf20-0111.mwcnf,50.43894048847609,7,0
wuf20-012.mwcnf,51.29421019509125,1,0
wuf20-0373.mwcnf,46.19502868068834,11,0
wuf20-0166.mwcnf,60.545229244114,42,0
wuf20-0232.mwcnf,30.863961813842483,29,0
wuf20-0562.mwcnf,63.83448275862069,24,0
wuf20-0817.mwcnf,82.15826055961504,16,0
wuf20-0638.mwcnf,47.03756476683938,3,0
wuf20-0688.mwcnf,76.3106952734312,34,0
wuf20-0599.mwcnf,28.19890510948905,27,0
wuf20-0424.mwcnf,49.65841584158416,39,0
wuf20-0966.mwcnf,34.87814207650273,7,0
wuf20-0823.mwcnf,43.69055823569952,35,0
wuf20-0912.mwcnf,31.40640809443508,21,0
wuf20-0578.mwcnf,71.52706552706553,60,0
wuf20-0664.mwcnf,100.0,100,0
wuf20-0430.mwcnf,63.079861111111114,12,0
