Formula,avg % of optimum found,exact optimums found,blunders
wuf20-0102.mwcnf,93.47797731777953,5,0
wuf20-0331.mwcnf,93.53286332604524,28,0
wuf20-0859.mwcnf,92.61127414181395,11,0
wuf20-0166.mwcnf,96.49931782341372,36,0
wuf20-0247.mwcnf,100.0,100,0
wuf20-0837.mwcnf,100.0,100,0
wuf20-0100.mwcnf,88.36734693877551,16,0
wuf20-0281.mwcnf,79.29732160703577,3,0
wuf20-0157.mwcnf,90.0485732955783,12,0
wuf20-0327.mwcnf,83.25310205115218,1,0
wuf20-0448.mwcnf,94.21695797329143,16,0
wuf20-0550.mwcnf,100.0,100,0
wuf20-0789.mwcnf,96.94981658548319,39,0
wuf20-0198.mwcnf,94.33312779077185,24,0
wuf20-0422.mwcnf,92.78144713709538,7,0
wuf20-0626.mwcnf,90.39899580774107,2,0
wuf20-0972.mwcnf,100.0,100,0
wuf20-0785.mwcnf,83.80775217666478,6,0
wuf20-0465.mwcnf,100.0,100,0
wuf20-0416.mwcnf,85.80029422581832,2,0
wuf20-073.mwcnf,97.31965618251407,33,0
wuf20-02.mwcnf,84.40219816094455,1,0
wuf20-0468.mwcnf,92.99686870946098,14,0
wuf20-0769.mwcnf,94.24162353913063,20,0
wuf20-0207.mwcnf,97.89431276438594,60,0
wuf20-0908.mwcnf,96.18118651358238,58,0
wuf20-0326.mwcnf,95.51506890807208,17,0
wuf20-076.mwcnf,100.0,100,0
wuf20-0975.mwcnf,91.47236180904524,5,0
wuf20-0916.mwcnf,94.10617575122292,13,0
wuf20-0332.mwcnf,93.7195975211568,27,0
wuf20-0592.mwcnf,91.02386544600462,12,0
wuf20-039.mwcnf,98.93462577082747,67,0
wuf20-0654.mwcnf,87.72534981038316,0,0
wuf20-0752.mwcnf,86.17907317808633,3,0
wuf20-0490.mwcnf,100.0,100,0
wuf20-0283.mwcnf,87.66303770014247,0,0
wuf20-025.mwcnf,100.0,100,0
wuf20-041.mwcnf,100.0,100,0
wuf20-024.mwcnf,94.20974889217133,45,0
wuf20-0814.mwcnf,83.34186170618283,1,0
wuf20-0127.mwcnf,86.63314795527346,3,0
wuf20-0782.mwcnf,100.0,100,0
wuf20-0666.mwcnf,95.66629888439377,48,0
wuf20-0242.mwcnf,85.81110980806066,0,0
wuf20-0365.mwcnf,85.72935366283855,0,0
wuf20-061.mwcnf,100.0,100,0
wuf20-0249.mwcnf,87.37202681274326,4,0
wuf20-080.mwcnf,82.92174104737178,2,0
wuf20-01.mwcnf,90.69643063083842,10,0
wuf20-0849.mwcnf,100.0,100,0
wuf20-0611.mwcnf,90.84222751637878,37,0
wuf20-0337.mwcnf,94.83844565965306,31,0
wuf20-0635.mwcnf,94.99983833680909,30,0
wuf20-0312.mwcnf,100.0,100,0
wuf20-0890.mwcnf,93.70302474793768,9,0
wuf20-0336.mwcnf,100.0,100,0
wuf20-0575.mwcnf,93.36917737844615,25,0
wuf20-0374.mwcnf,97.31473038141166,49,0
wuf20-0154.mwcnf,100.0,100,0
wuf20-0339.mwcnf,88.65904547726137,3,0
wuf20-0717.mwcnf,98.1736796234966,58,0
wuf20-0585.mwcnf,84.82551840089668,9,0
wuf20-0667.mwcnf,89.99850009762679,28,0
wuf20-0811.mwcnf,74.79157131641806,5,0
wuf20-0119.mwcnf,93.76137092771275,43,0
wuf20-0350.mwcnf,91.79780662178108,18,0
wuf20-0277.mwcnf,90.39029703898052,4,0
wuf20-0960.mwcnf,100.0,100,0
wuf20-0580.mwcnf,88.56799701951287,0,0
wuf20-0829.mwcnf,92.49878680038823,12,0
wuf20-0781.mwcnf,98.29390309090337,71,0
wuf20-0534.mwcnf,86.54771605234146,19,0
wuf20-0143.mwcnf,85.87216345719193,1,0
wuf20-0765.mwcnf,100.0,100,0
wuf20-0300.mwcnf,89.1425701827446,5,0
wuf20-0178.mwcnf,88.06466519249305,5,0
wuf20-0113.mwcnf,100.0,100,0
wuf20-069.mwcnf,98.2102997650832,66,0
wuf20-0999.mwcnf,79.55121472392638,1,0
wuf20-0138.mwcnf,99.32246953269801,79,0
wuf20-0552.mwcnf,97.94103028366527,65,0
wuf20-0359.mwcnf,77.09869721701222,1,0
wuf20-0385.mwcnf,96.09853817000541,33,0
wuf20-0610.mwcnf,91.56862745098039,10,0
wuf20-0110.mwcnf,72.18530798184824,3,0
wuf20-051.mwcnf,93.99789110429448,16,0
wuf20-0431.mwcnf,87.10123861193571,3,0
wuf20-089.mwcnf,81.00970821712079,3,0
wuf20-0475.mwcnf,97.29283599763174,54,0
wuf20-0556.mwcnf,97.23520209820002,53,0
wuf20-0270.mwcnf,100.0,100,0
wuf20-0646.mwcnf,97.94987627497134,59,0
wuf20-0698.mwcnf,99.85715240258872,98,0
wuf20-015.mwcnf,53.38289494916895,5,0
wuf20-0689.mwcnf,88.1050830653157,2,0
wuf20-0889.mwcnf,92.13505536314469,5,0
wuf20-0850.mwcnf,88.29425996103367,5,0
wuf20-0681.mwcnf,92.6141886281866,6,0
wuf20-0605.mwcnf,86.20029909400002,6,0
wuf20-0570.mwcnf,74.97413639274056,18,0
wuf20-0501.mwcnf,90.98324191032158,12,0
wuf20-0432.mwcnf,94.83757853211902,20,0
wuf20-0149.mwcnf,88.85,6,0
wuf20-0572.mwcnf,95.23495579933964,19,0
wuf20-0420.mwcnf,96.58667850799289,43,0
wuf20-0839.mwcnf,98.21593547117844,34,0
wuf20-0512.mwcnf,88.84596030192898,6,0
wuf20-0199.mwcnf,92.82476056650519,7,0
wuf20-0437.mwcnf,97.22087604846224,25,0
wuf20-0116.mwcnf,89.52307420221292,38,0
wuf20-0298.mwcnf,92.96944125839751,18,0
wuf20-0295.mwcnf,96.71298242830511,31,0
wuf20-0369.mwcnf,98.7590084461992,69,0
wuf20-0914.mwcnf,97.08644944851487,33,0
wuf20-0469.mwcnf,95.7506134004404,45,0
wuf20-0705.mwcnf,97.52142234617395,43,0
wuf20-0877.mwcnf,98.0472806683074,59,0
wuf20-0302.mwcnf,94.5712431309766,7,0
wuf20-0103.mwcnf,100.0,100,0
wuf20-0368.mwcnf,86.2679832780741,31,0
wuf20-0243.mwcnf,89.80393926193292,32,0
wuf20-0383.mwcnf,96.28939559581445,35,0
wuf20-0196.mwcnf,92.60004374027994,24,0
wuf20-0918.mwcnf,98.91981132075472,73,0
wuf20-0389.mwcnf,91.88611249930591,39,0
wuf20-0363.mwcnf,80.69587329913004,3,0
wuf20-026.mwcnf,97.99959499412742,58,0
wuf20-0258.mwcnf,86.91055204054094,4,0
wuf20-0189.mwcnf,80.83790845349914,1,0
wuf20-0346.mwcnf,91.49640827034793,31,0
wuf20-0754.mwcnf,87.48689766667471,8,0
wuf20-064.mwcnf,85.86378288661491,8,0
wuf20-0280.mwcnf,97.46013052652239,35,0
wuf20-0609.mwcnf,88.4143701573608,23,0
wuf20-0351.mwcnf,94.53098554008129,15,0
wuf20-0846.mwcnf,84.75897925997775,2,0
wuf20-0887.mwcnf,100.0,100,0
wuf20-0309.mwcnf,74.99680142624928,0,0
wuf20-0713.mwcnf,83.2929467702003,1,0
wuf20-033.mwcnf,86.39933971162917,12,0
wuf20-0935.mwcnf,90.08696335284183,4,0
wuf20-0215.mwcnf,66.861967341949,0,0
wuf20-0606.mwcnf,100.0,100,0
wuf20-0330.mwcnf,97.72641223686203,75,0
wuf20-0891.mwcnf,95.55483662245227,60,0
wuf20-0776.mwcnf,78.57636429966308,3,0
wuf20-0968.mwcnf,90.45180663581766,9,0
wuf20-0623.mwcnf,95.28531243937663,49,0
wuf20-0939.mwcnf,92.62616822429908,19,0
wuf20-0661.mwcnf,96.41453953953955,21,0
wuf20-0532.mwcnf,93.28281811646296,53,0
wuf20-0221.mwcnf,93.37330859042758,7,0
wuf20-0348.mwcnf,97.65422949877926,32,0
wuf20-0863.mwcnf,89.99973039281765,10,0
wuf20-0803.mwcnf,83.99606375741082,4,0
wuf20-0228.mwcnf,93.66769117760767,20,0
wuf20-0699.mwcnf,95.44818624198186,37,0
wuf20-0314.mwcnf,83.39828909296766,7,0
wuf20-0391.mwcnf,89.29000870783325,1,0
wuf20-0641.mwcnf,96.11088292245404,40,0
wuf20-0671.mwcnf,90.46189809352636,4,0
wuf20-0282.mwcnf,94.01705499227825,34,0
wuf20-0634.mwcnf,86.50741225621377,0,0
wuf20-0708.mwcnf,100.0,100,0
wuf20-0922.mwcnf,96.4224760624895,28,0
wuf20-0977.mwcnf,97.8421052631579,59,0
wuf20-0526.mwcnf,97.47704695636952,42,0
wuf20-0678.mwcnf,100.0,100,0
wuf20-0507.mwcnf,79.604280261723,4,0
wuf20-028.mwcnf,94.99768976897691,23,0
wuf20-0264.mwcnf,95.73013464820784,21,0
wuf20-0712.mwcnf,100.0,100,0
wuf20-0120.mwcnf,86.53059681296465,8,0
wuf20-0404.mwcnf,84.03183188933033,6,0
wuf20-0871.mwcnf,92.82568996075453,5,0
wuf20-0419.mwcnf,100.0,100,0
wuf20-0786.mwcnf,80.44505095095228,2,0
wuf20-0114.mwcnf,85.33869442637173,5,0
wuf20-0632.mwcnf,91.39959748462712,2,0
wuf20-0111.mwcnf,84.86886828733441,10,0
wuf20-0129.mwcnf,97.54932072255737,28,0
wuf20-0152.mwcnf,75.34144809752493,2,0
wuf20-031.mwcnf,100.0,99,0
wuf20-0470.mwcnf,91.07689726900624,9,0
wuf20-0108.mwcnf,93.36111111111111,26,0
wuf20-0734.mwcnf,89.12250121609414,7,0
wuf20-0584.mwcnf,97.3998169253518,61,0
wuf20-0694.mwcnf,97.79971776176528,45,0
wuf20-0597.mwcnf,97.87984645840375,47,0
wuf20-0905.mwcnf,85.50254976849382,2,0
wuf20-0474.mwcnf,92.32925952552121,5,0
wuf20-011.mwcnf,87.62502773463503,3,0
wuf20-0602.mwcnf,86.3641698829434,2,0
wuf20-0555.mwcnf,87.69647490562835,16,0
wuf20-0696.mwcnf,86.81417511205751,5,0
wuf20-0819.mwcnf,82.49932950853666,2,0
wuf20-0872.mwcnf,76.63171780340042,7,0
wuf20-0895.mwcnf,90.58139534883722,12,0
wuf20-034.mwcnf,79.13559700160629,0,0
wuf20-0429.mwcnf,89.67803940413263,5,0
wuf20-0967.mwcnf,95.0875,6,0
wuf20-0367.mwcnf,94.41479836190742,43,0
wuf20-0456.mwcnf,89.82569773565034,20,0
wuf20-0167.mwcnf,96.99939963978386,49,0
wuf20-0915.mwcnf,85.39780957079427,11,0
wuf20-0870.mwcnf,89.0694407184107,12,0
wuf20-0164.mwcnf,61.08989272876511,1,0
wuf20-070.mwcnf,78.87600178757634,1,0
wuf20-0746.mwcnf,95.72289156626506,17,0
wuf20-0112.mwcnf,95.2117024691875,8,0
wuf20-0510.mwcnf,81.99085439229844,14,0
wuf20-0608.mwcnf,83.18450589704686,22,0
wuf20-0425.mwcnf,97.57784605604704,55,0
wuf20-0949.mwcnf,93.58490566037736,22,0
wuf20-0134.mwcnf,85.45847521006556,1,0
wuf20-0561.mwcnf,94.19605579256928,9,0
wuf20-0600.mwcnf,100.0,100,0
wuf20-050.mwcnf,100.0,100,0
wuf20-0333.mwcnf,100.0,100,0
wuf20-063.mwcnf,91.1439520914129,9,0
wuf20-0978.mwcnf,100.0,100,0
wuf20-0130.mwcnf,85.07630930496343,5,0
wuf20-0251.mwcnf,96.5003348961822,30,0
wuf20-0373.mwcnf,84.45833333333334,10,0
wuf20-032.mwcnf,100.0,100,0
wuf20-0824.mwcnf,91.04681823747907,17,0
wuf20-0564.mwcnf,95.60572267259235,40,0
wuf20-0775.mwcnf,100.0,100,0
wuf20-0675.mwcnf,98.39988411955001,60,0
wuf20-0531.mwcnf,81.69472968378102,3,0
wuf20-091.mwcnf,100.0,100,0
wuf20-057.mwcnf,90.52298257878307,5,0
wuf20-0613.mwcnf,90.6423958291234,42,0
wuf20-0779.mwcnf,92.15399059745886,13,0
wuf20-0126.mwcnf,90.23316534820775,27,0
wuf20-0358.mwcnf,90.1645904575802,4,0
wuf20-0559.mwcnf,86.59225228516293,11,0
wuf20-0562.mwcnf,93.83980481445604,23,0
wuf20-0792.mwcnf,73.8229384372823,0,0
wuf20-0588.mwcnf,80.9885988470552,4,0
wuf20-0204.mwcnf,81.03801445919765,8,0
wuf20-0494.mwcnf,87.53557723933778,19,0
wuf20-0485.mwcnf,73.76406565956941,1,0
wuf20-0274.mwcnf,96.90935977731385,50,0
wuf20-0269.mwcnf,82.0492911921915,3,0
wuf20-0710.mwcnf,85.33167492444645,8,0
wuf20-0424.mwcnf,95.27518242053175,57,0
wuf20-0961.mwcnf,78.83738523014978,4,0
wuf20-0926.mwcnf,98.99860482044646,39,0
wuf20-0823.mwcnf,95.83321201091901,45,0
wuf20-0411.mwcnf,97.42755146563007,46,0
wuf20-0542.mwcnf,98.39922699090104,60,0
wuf20-0647.mwcnf,98.2103984180809,66,0
wuf20-0963.mwcnf,85.76794659969599,10,0
wuf20-0464.mwcnf,100.0,100,0
wuf20-0704.mwcnf,86.30640742967861,16,0
wuf20-0589.mwcnf,96.91304347826087,26,0
wuf20-0353.mwcnf,90.91418456091742,15,0
wuf20-058.mwcnf,89.23930409687304,7,0
wuf20-023.mwcnf,90.00023462474705,9,0
wuf20-0141.mwcnf,100.0,100,0
wuf20-0435.mwcnf,100.0,100,0
wuf20-0495.mwcnf,98.05929179247873,60,0
wuf20-0990.mwcnf,92.5064935064935,8,0
wuf20-0758.mwcnf,86.93938119816738,6,0
wuf20-0238.mwcnf,94.06139534883721,31,0
wuf20-0984.mwcnf,100.0,100,0
wuf20-0305.mwcnf,90.35874513699197,5,0
wuf20-0788.mwcnf,87.53279712924581,1,0
wuf20-038.mwcnf,77.06032978783274,0,0
wuf20-065.mwcnf,89.49940589577714,12,0
wuf20-09.mwcnf,100.0,100,0
wuf20-0203.mwcnf,94.23414048429056,2,0
wuf20-0402.mwcnf,100.0,99,0
wuf20-0136.mwcnf,97.72290699241579,38,0
wuf20-0140.mwcnf,90.85365853658537,17,0
wuf20-036.mwcnf,91.58612736513902,24,0
wuf20-0122.mwcnf,96.92828735903535,43,0
wuf20-0393.mwcnf,82.33818053541331,9,0
