Formula,avg % of optimum found,exact optimums found,blunders
wuf20-0174.mwcnf,91.91387024608501,14,0
wuf20-0275.mwcnf,62.83697656044245,0,0
wuf20-0879.mwcnf,97.69856733524355,57,0
wuf20-0327.mwcnf,82.94102714313611,0,0
wuf20-0523.mwcnf,98.5,49,0
wuf20-0321.mwcnf,95.51260154134556,26,0
wuf20-0514.mwcnf,100.0,100,0
wuf20-034.mwcnf,79.76637058458996,1,0
wuf20-060.mwcnf,94.34724230530882,11,0
wuf20-0993.mwcnf,96.76190476190476,32,0
wuf20-0307.mwcnf,92.51570557899672,3,0
wuf20-0960.mwcnf,100.0,100,0
wuf20-0537.mwcnf,90.71516448248194,11,0
wuf20-0965.mwcnf,83.25109874011133,0,0
wuf20-0609.mwcnf,91.17801724137931,37,0
wuf20-0192.mwcnf,94.90801186943621,34,0
wuf20-0393.mwcnf,82.79651795429814,7,0
wuf20-0363.mwcnf,80.2690481106752,2,0
wuf20-0362.mwcnf,85.96499238964992,2,0
wuf20-0204.mwcnf,79.79664045746962,6,0
wuf20-0788.mwcnf,88.05126791620727,4,0
wuf20-01.mwcnf,90.26065275520139,8,0
wuf20-0904.mwcnf,93.11262934465375,19,0
wuf20-0310.mwcnf,95.74193548387096,34,0
wuf20-0754.mwcnf,88.78796022574578,7,0
wuf20-0765.mwcnf,100.0,100,0
wuf20-0464.mwcnf,100.0,100,0
wuf20-036.mwcnf,92.42710391149744,29,0
wuf20-0739.mwcnf,93.92857142857143,15,0
wuf20-0478.mwcnf,92.12381703470031,18,0
wuf20-0198.mwcnf,94.79710610932476,30,0
wuf20-0228.mwcnf,93.80292397660818,21,0
wuf20-098.mwcnf,94.2560273479669,36,0
wuf20-0998.mwcnf,92.32996682639144,14,0
wuf20-0692.mwcnf,96.04545454545455,29,0
wuf20-0761.mwcnf,85.4621284755513,16,0
wuf20-0786.mwcnf,80.78144329896907,0,0
wuf20-0157.mwcnf,90.92376470588235,20,0
wuf20-0563.mwcnf,87.90546639919759,1,0
wuf20-0944.mwcnf,92.85714285714286,50,0
wuf20-0921.mwcnf,88.79392773732656,8,0
wuf20-0802.mwcnf,89.24863074767546,8,0
wuf20-0888.mwcnf,92.1844326351985,16,0
wuf20-0602.mwcnf,86.26589446589448,1,0
wuf20-0131.mwcnf,74.54616357504216,2,0
wuf20-0900.mwcnf,74.41204283131692,0,0
wuf20-0608.mwcnf,85.7955471083356,29,0
wuf20-0939.mwcnf,92.54237288135593,19,0
wuf20-0134.mwcnf,85.94785992217898,0,0
wuf20-0100.mwcnf,88.3265306122449,25,0
wuf20-0595.mwcnf,98.87704918032787,62,0
wuf20-0129.mwcnf,97.20842572062084,23,0
wuf20-0689.mwcnf,87.61870115871733,0,0
wuf20-0800.mwcnf,93.12,8,0
wuf20-0782.mwcnf,100.0,100,0
wuf20-0983.mwcnf,95.72290116896919,56,0
wuf20-051.mwcnf,94.00820256776035,17,0
wuf20-0871.mwcnf,93.04460503364068,3,0
wuf20-0252.mwcnf,83.79036295369211,6,0
wuf20-0671.mwcnf,89.95082680591818,4,0
wuf20-0341.mwcnf,73.22758620689655,0,0
wuf20-0107.mwcnf,100.0,100,0
wuf20-0631.mwcnf,100.0,100,0
