Formula,avg % of optimum found,exact optimums found,blunders
wuf75-021.mwcnf,41.82316948806854,0,0
wuf75-076.mwcnf,60.64333758837392,0,0
wuf75-091.mwcnf,43.20892018779343,7,6
wuf75-099.mwcnf,71.27498630887185,0,0
wuf75-020.mwcnf,50.31198565098122,1,0
wuf75-0100.mwcnf,39.28908680047853,0,0
wuf75-059.mwcnf,66.55573816393363,0,0
wuf75-083.mwcnf,64.8439552281423,4,1
wuf75-092.mwcnf,44.53499177233569,2,0
wuf75-081.mwcnf,57.83300923675255,0,0
wuf75-037.mwcnf,48.49883531841955,0,0
wuf75-024.mwcnf,60.2998376831404,0,0
wuf75-08.mwcnf,44.02150719157269,0,4
wuf75-027.mwcnf,45.739171587450116,0,0
wuf75-017.mwcnf,53.24103630020043,0,0
wuf75-047.mwcnf,51.90385982230997,0,0
wuf75-046.mwcnf,57.7976991322999,21,5
wuf75-014.mwcnf,40.48757442285694,0,0
wuf75-053.mwcnf,70.22419892648016,1,0
wuf75-019.mwcnf,73.37133579076708,26,4
wuf75-086.mwcnf,58.84807471735212,0,1
wuf75-038.mwcnf,54.99165156258582,1,0
wuf75-015.mwcnf,37.17033932258761,3,0
wuf75-022.mwcnf,48.788962226363175,0,0
wuf75-098.mwcnf,49.09218680832227,0,0
wuf75-02.mwcnf,53.3205139251898,0,0
wuf75-03.mwcnf,61.717842323651446,33,10
wuf75-077.mwcnf,49.82631962608808,0,0
wuf75-063.mwcnf,54.22721890411315,1,0
wuf75-07.mwcnf,64.67208341160999,5,0
wuf75-042.mwcnf,36.61165644725792,0,0
wuf75-071.mwcnf,44.13837795054869,0,0
wuf75-01.mwcnf,42.32055577363727,0,0
wuf75-025.mwcnf,55.87262876051428,0,0
wuf75-090.mwcnf,34.95480726628267,0,2
wuf75-078.mwcnf,58.60341222074875,1,0
wuf75-035.mwcnf,40.54829877820796,0,0
wuf75-048.mwcnf,65.76426731908319,1,0
wuf75-033.mwcnf,41.81352473326867,0,0
wuf75-016.mwcnf,54.82026322324311,0,0
wuf75-088.mwcnf,71.58266573728385,2,0
wuf75-054.mwcnf,57.0173225888829,0,0
wuf75-064.mwcnf,62.68632746987012,0,0
wuf75-067.mwcnf,46.30716798592788,1,0
wuf75-073.mwcnf,41.4098359617054,0,0
wuf75-041.mwcnf,48.386900841566046,9,0
wuf75-09.mwcnf,57.75135849169894,0,0
wuf75-070.mwcnf,57.37585474699489,0,0
wuf75-074.mwcnf,50.40454395059005,0,0
wuf75-043.mwcnf,68.9929099762117,2,0
wuf75-051.mwcnf,44.17548175481755,4,6
wuf75-044.mwcnf,43.1734883266582,3,0
wuf75-013.mwcnf,48.526819192882115,0,0
wuf75-057.mwcnf,38.404186353148006,2,8
wuf75-030.mwcnf,74.69333692528735,13,4
wuf75-045.mwcnf,25.61216824047395,2,0
wuf75-050.mwcnf,54.886130204113634,0,0
wuf75-052.mwcnf,70.70305822649573,1,2
wuf75-061.mwcnf,67.10298358709021,3,0
wuf75-012.mwcnf,48.931761367475175,7,17
wuf75-034.mwcnf,63.842764980949084,0,0
wuf75-026.mwcnf,61.779872447293634,0,0
wuf75-097.mwcnf,45.28817166164214,1,20
wuf75-060.mwcnf,60.530338922982224,0,0
wuf75-06.mwcnf,82.23221061449762,1,0
wuf75-066.mwcnf,55.12428312789324,0,0
wuf75-040.mwcnf,28.242396685864406,2,44
wuf75-065.mwcnf,51.10939311313207,0,0
wuf75-082.mwcnf,31.82825079051,0,0
wuf75-055.mwcnf,43.096190977707565,5,27
wuf75-068.mwcnf,38.192212775617506,0,0
wuf75-039.mwcnf,44.9969549470576,0,0
wuf75-087.mwcnf,52.62632029411193,0,0
wuf75-011.mwcnf,56.28362188574531,3,0
wuf75-072.mwcnf,61.38126510129484,1,0
wuf75-085.mwcnf,42.42983581720364,0,0
wuf75-036.mwcnf,44.75493971868721,0,0
wuf75-062.mwcnf,69.1177292692666,12,0
wuf75-023.mwcnf,52.9267097403389,0,0
wuf75-095.mwcnf,48.17692570258278,0,0
wuf75-032.mwcnf,46.47007926023778,0,1
wuf75-058.mwcnf,34.87100760141658,1,0
wuf75-084.mwcnf,58.36552897020877,0,0
wuf75-05.mwcnf,51.574668009012896,1,1
wuf75-093.mwcnf,53.44592583594011,0,0
wuf75-029.mwcnf,66.99252900053776,0,0
wuf75-075.mwcnf,48.18071149779055,0,0
wuf75-031.mwcnf,49.62286597141753,0,0
wuf75-096.mwcnf,48.54840406874781,0,1
wuf75-089.mwcnf,51.207130599595324,0,0
wuf75-018.mwcnf,60.011487257512364,0,0
wuf75-079.mwcnf,40.812043619519415,1,0
wuf75-094.mwcnf,59.23483272516455,0,0
wuf75-049.mwcnf,48.62943017826825,0,0
wuf75-080.mwcnf,51.39071264133905,0,0
wuf75-010.mwcnf,50.03366207850368,0,0
wuf75-04.mwcnf,53.80609077598829,1,15
wuf75-069.mwcnf,56.16985084170259,6,0
wuf75-028.mwcnf,56.494726604054584,1,1
wuf75-056.mwcnf,54.038440498232625,0,0
TOTAL,52.459920404406276,192,180
