Formula,avg % of optimum found,exact optimums found,blunders
wuf50-0137.mwcnf,45.703377208871714,0,0
wuf50-0651.mwcnf,43.16465554129226,0,0
wuf50-0220.mwcnf,72.29745231840579,8,0
wuf50-0539.mwcnf,73.08045164564304,4,0
wuf50-0998.mwcnf,61.969168453657375,7,0
wuf50-0809.mwcnf,50.481070849107624,13,0
wuf50-0704.mwcnf,59.7753943386626,2,0
wuf50-0130.mwcnf,64.82969103240393,16,0
wuf50-0268.mwcnf,51.40649721939375,5,0
wuf50-0270.mwcnf,78.07421036491874,78,0
wuf50-07.mwcnf,51.95446130226677,1,0
wuf50-0465.mwcnf,77.46531791907515,77,0
wuf50-0355.mwcnf,43.34693877551021,5,0
wuf50-0973.mwcnf,37.893675533482664,13,0
wuf50-0732.mwcnf,39.855633802816904,0,0
wuf50-0493.mwcnf,40.931241139322076,5,0
wuf50-0235.mwcnf,56.03434085426423,2,0
wuf50-0911.mwcnf,61.79115899707985,9,0
wuf50-0187.mwcnf,35.266086695665216,3,0
wuf50-0472.mwcnf,50.7505581805909,1,0
wuf50-0332.mwcnf,57.964571396938744,1,0
wuf50-0544.mwcnf,67.48146075085324,0,0
wuf50-0785.mwcnf,55.742110161604195,10,0
wuf50-0297.mwcnf,59.0878224355129,7,0
wuf50-0849.mwcnf,61.58455960759224,7,0
wuf50-0986.mwcnf,65.73355198166514,0,0
wuf50-072.mwcnf,77.51351073842731,5,0
wuf50-0134.mwcnf,55.16555183946488,13,0
wuf50-0122.mwcnf,65.46128077717603,1,0
wuf50-0292.mwcnf,54.14058234758872,1,0
wuf50-0644.mwcnf,63.41720696669209,1,0
wuf50-0405.mwcnf,39.42573810649362,0,0
wuf50-0429.mwcnf,67.4781387886081,21,0
wuf50-0933.mwcnf,56.334987847875944,1,0
wuf50-0931.mwcnf,39.91937712211685,4,0
wuf50-049.mwcnf,53.71238523515083,1,0
wuf50-0464.mwcnf,47.681407942238266,2,0
wuf50-074.mwcnf,74.1856516976999,7,0
wuf50-0601.mwcnf,67.0236421150473,3,0
wuf50-0763.mwcnf,31.901537122969838,0,0
wuf50-0830.mwcnf,60.57535821687599,0,0
wuf50-024.mwcnf,46.51039104771274,3,0
wuf50-0641.mwcnf,40.56837449694593,0,0
