Formula,avg % of optimum found,exact optimums found,blunders
wuf20-0730.mwcnf,79.96912714860417,7,0
wuf20-0800.mwcnf,49.06344000904671,7,0
wuf20-0578.mwcnf,73.82066449768313,65,0
wuf20-039.mwcnf,65.03713951261041,64,0
wuf20-0431.mwcnf,60.966897546266964,9,0
wuf20-0632.mwcnf,43.641328828828826,5,0
wuf20-0489.mwcnf,57.21693572432594,51,0
wuf20-0279.mwcnf,54.81996466431096,30,0
wuf20-0584.mwcnf,53.10793963254593,53,0
wuf20-0608.mwcnf,41.02909270216962,25,0
wuf20-0461.mwcnf,100.0,100,0
wuf20-0498.mwcnf,82.00447268467573,64,0
wuf20-0877.mwcnf,65.11848341232228,65,0
wuf20-0433.mwcnf,54.5603215780957,12,0
wuf20-0699.mwcnf,66.76542958129419,19,0
wuf20-0764.mwcnf,100.0,100,0
wuf20-0842.mwcnf,100.0,100,0
wuf20-0242.mwcnf,56.524939919893185,6,0
wuf20-0968.mwcnf,57.29984192222573,8,0
wuf20-0930.mwcnf,20.206851971557853,20,0
wuf20-0818.mwcnf,57.71857506361324,48,0
wuf20-043.mwcnf,56.068633011911515,56,0
wuf20-0711.mwcnf,61.81658510059815,45,0
wuf20-0654.mwcnf,58.80941775373847,3,0
wuf20-0468.mwcnf,32.038608942512425,7,0
wuf20-0920.mwcnf,76.18489387542652,9,0
wuf20-0232.mwcnf,28.11647058823529,28,0
wuf20-0589.mwcnf,69.21012544802868,27,0
wuf20-0405.mwcnf,46.2765610471354,1,0
wuf20-0741.mwcnf,51.73711556691505,28,0
wuf20-0469.mwcnf,77.80956774788842,35,0
wuf20-0723.mwcnf,61.02650176678445,37,0
wuf20-0307.mwcnf,46.91185109289618,6,0
wuf20-0320.mwcnf,53.96844651684605,21,0
wuf20-0514.mwcnf,100.0,100,0
wuf20-0377.mwcnf,90.28686193349566,20,0
wuf20-0600.mwcnf,100.0,100,0
wuf20-0173.mwcnf,70.48812109246462,24,0
wuf20-0889.mwcnf,63.5001018122582,15,0
wuf20-0638.mwcnf,43.91067009328003,3,0
wuf20-0784.mwcnf,51.21296207851753,23,0
wuf20-096.mwcnf,100.0,100,0
wuf20-0662.mwcnf,54.40844391386197,1,0
wuf20-0520.mwcnf,43.093565331582404,12,0
wuf20-0552.mwcnf,71.07609052148246,71,0
wuf20-0693.mwcnf,44.08365019011407,44,0
wuf20-0576.mwcnf,100.0,100,0
wuf20-0465.mwcnf,100.0,100,0
wuf20-0878.mwcnf,51.26051323391106,1,0
wuf20-0545.mwcnf,53.1847363249263,53,0
wuf20-0451.mwcnf,35.99428240700142,1,0
wuf20-0384.mwcnf,74.70894001888387,15,0
wuf20-0109.mwcnf,49.102719033232624,49,0
wuf20-0536.mwcnf,100.0,100,0
wuf20-0794.mwcnf,64.13401015228426,64,0
wuf20-0303.mwcnf,51.698682564215794,40,0
wuf20-0652.mwcnf,66.05539714867618,66,0
wuf20-0308.mwcnf,59.02643820290879,28,0
wuf20-0862.mwcnf,42.73131449080305,5,0
wuf20-0176.mwcnf,100.0,100,0
wuf20-0131.mwcnf,62.66326389465239,0,0
wuf20-0849.mwcnf,100.0,100,0
wuf20-0590.mwcnf,42.718982181602996,10,0
wuf20-0142.mwcnf,65.56218478918701,11,0
wuf20-0113.mwcnf,100.0,100,0
wuf20-0633.mwcnf,63.860806618407445,12,0
wuf20-0256.mwcnf,68.01367386343689,6,0
wuf20-015.mwcnf,38.47006315985737,3,0
wuf20-0330.mwcnf,74.01913453046807,74,0
wuf20-0837.mwcnf,100.0,100,0
wuf20-059.mwcnf,100.0,100,0
wuf20-0819.mwcnf,58.971246898263026,2,0
wuf20-0183.mwcnf,82.50803554547174,10,0
wuf20-0190.mwcnf,62.976629224481805,6,0
wuf20-0886.mwcnf,66.39047134621906,33,0
wuf20-0323.mwcnf,69.95998463163961,11,0
wuf20-0855.mwcnf,65.11848341232228,65,0
wuf20-0721.mwcnf,47.967139884959,5,0
wuf20-0387.mwcnf,21.766365410796006,1,0
wuf20-0755.mwcnf,100.0,100,0
wuf20-0990.mwcnf,61.6257975034674,5,0
wuf20-049.mwcnf,42.11421069904824,42,0
wuf20-074.mwcnf,100.0,100,0
wuf20-0725.mwcnf,100.0,100,0
wuf20-047.mwcnf,57.018313458262355,20,0
wuf20-0312.mwcnf,100.0,100,0
wuf20-0146.mwcnf,53.61630473163842,28,0
wuf20-0531.mwcnf,43.831244298793884,6,0
wuf20-0789.mwcnf,67.10055865921788,34,0
wuf20-0258.mwcnf,76.43661601786575,6,0
wuf20-0248.mwcnf,100.0,100,0
wuf20-0166.mwcnf,57.558886509635975,38,0
wuf20-0347.mwcnf,59.06668733289418,14,0
wuf20-0343.mwcnf,78.03235769966172,78,0
wuf20-0806.mwcnf,47.197292724196274,47,0
wuf20-0935.mwcnf,68.60361575822989,3,0
wuf20-0475.mwcnf,56.04993616115761,56,0
wuf20-0563.mwcnf,41.53947308756178,3,0
wuf20-0178.mwcnf,39.03076147251639,5,0
wuf20-0292.mwcnf,54.61967568725647,25,0
wuf20-0872.mwcnf,68.51118779317409,1,0
wuf20-0317.mwcnf,78.77812510228797,27,0
wuf20-050.mwcnf,100.0,100,0
wuf20-0827.mwcnf,100.0,99,0
wuf20-03.mwcnf,100.0,100,0
wuf20-093.mwcnf,52.73562812071937,41,0
wuf20-0357.mwcnf,62.05030891438659,62,0
wuf20-0708.mwcnf,100.0,100,0
wuf20-0983.mwcnf,59.31499481596682,50,0
wuf20-0908.mwcnf,54.074409576188934,54,0
wuf20-0534.mwcnf,76.9090909090909,25,0
wuf20-0749.mwcnf,57.36077920607055,27,0
wuf20-0342.mwcnf,60.11863332976407,27,0
wuf20-0964.mwcnf,40.03914978371145,0,0
wuf20-0570.mwcnf,52.567813160097245,2,0
wuf20-0567.mwcnf,43.373266038155094,1,0
wuf20-0532.mwcnf,47.052233902759525,47,0
wuf20-0816.mwcnf,39.69455265764279,19,0
wuf20-0370.mwcnf,54.713111262566024,18,0
wuf20-0613.mwcnf,55.63064484322619,34,0
wuf20-0137.mwcnf,36.049874588006055,0,0
wuf20-0792.mwcnf,66.92790792978622,11,0
wuf20-0974.mwcnf,75.52775530021039,51,0
wuf20-031.mwcnf,100.0,100,0
wuf20-0912.mwcnf,29.103398058252427,20,0
wuf20-020.mwcnf,43.14351166897342,26,0
wuf20-060.mwcnf,59.48696890056943,12,0
wuf20-0436.mwcnf,52.32302329017621,4,0
wuf20-0179.mwcnf,70.5276438899915,26,0
wuf20-0217.mwcnf,62.09875789045,9,0
wuf20-0767.mwcnf,45.9310853322847,7,0
wuf20-0437.mwcnf,30.129004819960304,30,0
wuf20-0158.mwcnf,47.50297706640104,9,0
wuf20-0856.mwcnf,23.802982046382144,1,0
wuf20-0829.mwcnf,29.096336499321577,12,0
wuf20-0556.mwcnf,75.56028543307087,51,0
wuf20-0759.mwcnf,100.0,100,0
wuf20-0743.mwcnf,61.51831713450691,38,0
wuf20-0399.mwcnf,49.39488044008695,12,0
wuf20-0486.mwcnf,65.68964439900023,16,0
wuf20-0880.mwcnf,61.01203129613227,7,0
wuf20-0101.mwcnf,33.15714285714286,11,0
wuf20-0671.mwcnf,54.522870813397134,1,0
wuf20-0389.mwcnf,63.01074403634987,47,0
wuf20-0822.mwcnf,48.68173660370908,1,0
wuf20-0198.mwcnf,33.41035655789341,22,0
wuf20-0254.mwcnf,49.442654173690315,20,0
wuf20-0145.mwcnf,57.2720625315179,16,0
wuf20-0659.mwcnf,54.48941600936534,3,0
wuf20-0253.mwcnf,60.54794218250027,21,0
wuf20-0434.mwcnf,63.079931659230304,51,0
wuf20-0456.mwcnf,31.235455499072053,22,0
wuf20-0703.mwcnf,53.8411042601941,5,0
wuf20-0810.mwcnf,42.104824002598114,5,0
wuf20-0863.mwcnf,33.448397609994565,10,0
wuf20-0628.mwcnf,68.87870822380773,18,0
wuf20-0540.mwcnf,55.842457566339945,7,0
wuf20-0830.mwcnf,36.173441734417345,36,0
wuf20-0283.mwcnf,65.5928888103339,0,0
wuf20-0350.mwcnf,52.849061234507296,21,0
wuf20-0417.mwcnf,72.28086449638825,7,0
wuf20-0857.mwcnf,60.41075794621027,19,0
wuf20-041.mwcnf,100.0,100,0
wuf20-0177.mwcnf,25.753181302759227,8,0
wuf20-0296.mwcnf,70.80580959452362,19,0
wuf20-0594.mwcnf,100.0,100,0
wuf20-034.mwcnf,53.695640331098765,4,0
wuf20-0165.mwcnf,65.04865368200511,2,0
wuf20-0138.mwcnf,81.03588290840416,81,0
wuf20-0642.mwcnf,54.28725172442449,0,0
wuf20-0448.mwcnf,50.5895262047704,13,0
wuf20-0888.mwcnf,75.37789298278096,18,0
wuf20-0419.mwcnf,100.0,100,0
wuf20-0602.mwcnf,53.758301005983306,3,0
wuf20-0415.mwcnf,47.38230595127146,36,0
wuf20-0766.mwcnf,50.893136740680305,11,0
wuf20-0205.mwcnf,60.01866095069979,18,0
wuf20-0523.mwcnf,54.124231242312426,54,0
wuf20-0580.mwcnf,68.47424375274002,37,0
wuf20-0973.mwcnf,45.177648578811365,45,0
wuf20-0495.mwcnf,63.69320843091336,53,0
wuf20-0275.mwcnf,43.038978215767635,1,0
wuf20-0286.mwcnf,31.424242424242426,31,0
wuf20-0374.mwcnf,53.06,53,0
wuf20-0727.mwcnf,74.49461025152159,8,0
wuf20-0240.mwcnf,66.01930599369085,12,0
wuf20-0396.mwcnf,49.510757269144754,20,0
wuf20-0714.mwcnf,66.95704912371579,2,0
wuf20-0497.mwcnf,57.95457773149025,1,0
wuf20-0902.mwcnf,46.06517645629594,16,0
wuf20-0459.mwcnf,44.625814784776665,8,0
wuf20-0369.mwcnf,73.02299095263439,73,0
wuf20-0237.mwcnf,31.811004416144602,6,0
wuf20-0388.mwcnf,62.51845498639536,33,0
wuf20-0969.mwcnf,63.54154302670623,31,0
wuf20-0295.mwcnf,27.10736873069569,27,0
wuf20-0458.mwcnf,100.0,100,0
wuf20-0392.mwcnf,61.85357728017477,16,0
wuf20-0621.mwcnf,51.53106706377734,40,0
wuf20-0869.mwcnf,89.67251329636754,69,0
wuf20-0244.mwcnf,66.26989033635091,27,0
wuf20-0704.mwcnf,64.75051363126376,13,0
wuf20-0381.mwcnf,47.77196648475381,28,0
wuf20-01.mwcnf,39.23104308260514,21,0
wuf20-0306.mwcnf,38.28136834527871,8,0
wuf20-0719.mwcnf,56.015148572538365,18,0
wuf20-0311.mwcnf,85.06070778826994,17,0
wuf20-0648.mwcnf,69.23806266985835,15,0
wuf20-0579.mwcnf,63.07891714520098,40,0
wuf20-0418.mwcnf,46.06782903690262,21,0
wuf20-0892.mwcnf,67.4753263586705,28,0
wuf20-0186.mwcnf,60.42416906238967,24,0
wuf20-025.mwcnf,100.0,100,0
wuf20-0629.mwcnf,58.33029925187033,21,0
wuf20-0881.mwcnf,100.0,100,0
wuf20-0866.mwcnf,65.52268800581977,20,0
wuf20-0790.mwcnf,68.3695701357466,19,0
wuf20-0481.mwcnf,66.02171830086235,66,0
wuf20-088.mwcnf,64.3281815773205,11,0
wuf20-0213.mwcnf,56.73971369406681,16,0
wuf20-0112.mwcnf,33.20510384145514,10,0
wuf20-0324.mwcnf,62.037744178346756,24,0
wuf20-0345.mwcnf,85.75314777998676,43,0
wuf20-0470.mwcnf,46.234251753446806,7,0
wuf20-0280.mwcnf,86.30839040804882,49,0
wuf20-0591.mwcnf,37.18590163934426,37,0
wuf20-0859.mwcnf,75.44135053846901,26,0
wuf20-0454.mwcnf,60.415623136553364,40,0
wuf20-0746.mwcnf,66.79474574479332,14,0
wuf20-0530.mwcnf,77.24974897307166,40,0
wuf20-0928.mwcnf,66.08791208791209,66,0
wuf20-0720.mwcnf,39.26550602791878,11,0
wuf20-0801.mwcnf,65.31686792452831,4,0
wuf20-0385.mwcnf,58.026825633383005,29,0
wuf20-0681.mwcnf,68.10082501622223,14,0
wuf20-054.mwcnf,38.30977470930233,0,0
wuf20-0616.mwcnf,59.53991458607096,36,0
wuf20-0854.mwcnf,66.77383155015687,21,0
wuf20-0717.mwcnf,52.07170016295491,52,0
wuf20-0270.mwcnf,100.0,100,0
wuf20-0625.mwcnf,100.0,100,0
wuf20-0984.mwcnf,100.0,100,0
wuf20-061.mwcnf,100.0,100,0
wuf20-0734.mwcnf,48.757372858723436,6,0
wuf20-0675.mwcnf,54.07494908350305,54,0
wuf20-0554.mwcnf,60.73467950223058,1,0
wuf20-0201.mwcnf,37.59315908899907,5,0
wuf20-0899.mwcnf,49.243360203648706,7,0
wuf20-0896.mwcnf,100.0,100,0
wuf20-09.mwcnf,100.0,100,0
wuf20-0126.mwcnf,63.22226426696309,33,0
wuf20-0315.mwcnf,48.514211030115604,5,0
wuf20-027.mwcnf,70.92857507009941,5,0
wuf20-0478.mwcnf,64.01254081680943,12,0
wuf20-0609.mwcnf,75.1265338841956,60,0
wuf20-0607.mwcnf,100.0,100,0
wuf20-0346.mwcnf,62.504733951903056,24,0
wuf20-0858.mwcnf,100.0,100,0
wuf20-062.mwcnf,65.11198929186054,6,0
wuf20-0187.mwcnf,50.12370920393714,4,0
wuf20-0329.mwcnf,62.029363064355884,24,0
wuf20-0268.mwcnf,65.94865622610517,1,0
wuf20-0410.mwcnf,29.051451280959483,14,0
wuf20-0945.mwcnf,48.134453781512605,48,0
wuf20-0226.mwcnf,46.628509886868606,2,0
wuf20-0622.mwcnf,56.65834165834166,4,0
wuf20-0367.mwcnf,65.51224533257613,46,0
wuf20-0860.mwcnf,57.18814891723524,4,0
wuf20-0979.mwcnf,100.0,100,0
wuf20-081.mwcnf,40.18286488316966,40,0
wuf20-0457.mwcnf,64.0122477959884,34,0
wuf20-0821.mwcnf,56.620994179434,3,0
wuf20-0208.mwcnf,71.97907239819004,2,0
wuf20-0428.mwcnf,67.51275256707518,14,0
wuf20-0453.mwcnf,64.0148187585962,49,0
wuf20-077.mwcnf,58.75948363718719,12,0
wuf20-0134.mwcnf,50.199483320229135,7,0
wuf20-064.mwcnf,58.63549845348561,11,0
wuf20-0783.mwcnf,45.22327469553451,45,0
wuf20-0985.mwcnf,72.09043927648578,72,0
wuf20-0260.mwcnf,100.0,100,0
wuf20-0566.mwcnf,35.68583736148104,10,0
wuf20-0644.mwcnf,67.76723883291214,6,0
wuf20-052.mwcnf,46.61965502663772,14,0
wuf20-0957.mwcnf,67.65650801359884,31,0
wuf20-0958.mwcnf,39.88356718834323,9,0
wuf20-0562.mwcnf,64.56119182467373,29,0
wuf20-0144.mwcnf,44.34231588645132,7,0
wuf20-0914.mwcnf,44.19890216338392,44,0
wuf20-0645.mwcnf,61.18397774687065,13,0
wuf20-0757.mwcnf,54.020672859084726,25,0
wuf20-0919.mwcnf,97.42904748680921,64,0
wuf20-0238.mwcnf,44.5285977180714,17,0
wuf20-0391.mwcnf,66.27131342637672,25,0
wuf20-019.mwcnf,65.0880724710619,65,0
wuf20-0378.mwcnf,57.68269367280299,8,0
wuf20-0898.mwcnf,57.146013548723296,49,0
wuf20-063.mwcnf,43.46986538853763,9,0
wuf20-0278.mwcnf,47.02340989399293,47,0
wuf20-0705.mwcnf,36.09560021727322,36,0
wuf20-0707.mwcnf,49.135631246175805,13,0
wuf20-0890.mwcnf,75.23883170489576,8,0
wuf20-0823.mwcnf,47.74817703917246,38,0
wuf20-0305.mwcnf,64.41518185834192,4,0
wuf20-0750.mwcnf,71.05118110236221,71,0
wuf20-0250.mwcnf,58.13502109704641,1,0
wuf20-0291.mwcnf,49.716086328908915,9,0
wuf20-0200.mwcnf,46.88261075201009,7,0
wuf20-0809.mwcnf,42.61845409729328,5,0
wuf20-0994.mwcnf,59.96820575910192,1,0
wuf20-0513.mwcnf,41.78859584257661,4,0
wuf20-0959.mwcnf,76.12332736075636,29,0
wuf20-0754.mwcnf,49.78502119452759,17,0
wuf20-0319.mwcnf,64.21113600098197,16,0
wuf20-0737.mwcnf,72.2045361834054,22,0
wuf20-0169.mwcnf,25.1404780667192,1,0
wuf20-013.mwcnf,67.52048405395185,43,0
wuf20-0404.mwcnf,45.86585520476734,2,0
wuf20-0560.mwcnf,56.40502380561484,47,0
wuf20-082.mwcnf,64.95364188733029,4,0
wuf20-0442.mwcnf,31.358441005253443,21,0
wuf20-0199.mwcnf,47.37758359939507,6,0
wuf20-0550.mwcnf,100.0,100,0
wuf20-0669.mwcnf,53.063832676898,53,0
wuf20-0252.mwcnf,44.7039491479578,6,0
wuf20-0522.mwcnf,60.61483195323916,6,0
wuf20-045.mwcnf,71.16334043459736,55,0
wuf20-0780.mwcnf,48.40242763772176,22,0
wuf20-0337.mwcnf,54.24468763802326,30,0
wuf20-0118.mwcnf,58.87437411254764,2,0
wuf20-0511.mwcnf,65.50727972947585,30,0
wuf20-0942.mwcnf,43.472456954063155,0,0
wuf20-0893.mwcnf,100.0,100,0
wuf20-0265.mwcnf,72.85699608803888,20,0
wuf20-067.mwcnf,34.44139970037602,7,0
wuf20-0586.mwcnf,100.0,100,0
wuf20-0987.mwcnf,61.467310309077945,11,0
wuf20-0155.mwcnf,63.93859518305868,4,0
wuf20-0977.mwcnf,75.07269789983845,75,0
wuf20-0596.mwcnf,20.209904886848147,20,0
wuf20-0209.mwcnf,69.07800704579769,69,0
wuf20-0597.mwcnf,51.19259744513593,51,0
wuf20-0753.mwcnf,84.4147702275727,19,0
wuf20-0174.mwcnf,50.818265837674346,20,0
wuf20-0598.mwcnf,49.16715830875123,49,0
wuf20-0444.mwcnf,39.360119258891174,26,0
wuf20-0386.mwcnf,81.03501559398923,81,0
wuf20-0487.mwcnf,52.34498082264251,12,0
wuf20-0665.mwcnf,53.26081540585126,4,0
wuf20-0923.mwcnf,57.98346055979644,4,0
wuf20-0535.mwcnf,38.23452858922885,1,0
wuf20-0739.mwcnf,59.03342845495311,18,0
wuf20-0426.mwcnf,66.40659509202453,6,0
wuf20-0653.mwcnf,55.321045884047415,2,0
wuf20-0236.mwcnf,71.05542487503675,71,0
wuf20-0152.mwcnf,34.04122527121889,0,0
wuf20-0364.mwcnf,51.03245749613601,21,0
wuf20-0223.mwcnf,61.03686200378072,47,0
wuf20-0231.mwcnf,100.0,100,0
wuf20-0986.mwcnf,31.56398541919806,6,0
wuf20-0297.mwcnf,65.89834737789414,42,0
wuf20-0452.mwcnf,67.40873466606088,21,0
wuf20-0413.mwcnf,45.64080263403118,10,0
wuf20-0587.mwcnf,67.79587365345992,27,0
wuf20-0568.mwcnf,65.46993098915544,28,0
wuf20-0551.mwcnf,58.05517241379311,28,0
wuf20-0354.mwcnf,27.370776591829223,15,0
wuf20-0840.mwcnf,100.0,100,0
wuf20-0614.mwcnf,100.0,100,0
wuf20-0150.mwcnf,78.05205956526962,15,0
wuf20-0972.mwcnf,100.0,100,0
wuf20-0623.mwcnf,54.378347297519305,45,0
wuf20-0975.mwcnf,59.246338689037394,22,0
wuf20-0321.mwcnf,63.02311202708671,29,0
wuf20-0701.mwcnf,100.0,100,0
wuf20-065.mwcnf,54.25933102182337,9,0
wuf20-02.mwcnf,39.78408870289277,4,0
wuf20-0503.mwcnf,56.500831826401445,9,0
wuf20-0736.mwcnf,19.099022004889974,19,0
wuf20-0366.mwcnf,49.35041885560131,20,0
wuf20-0156.mwcnf,68.87578517191795,21,0
wuf20-028.mwcnf,44.88497697015584,18,0
wuf20-0971.mwcnf,100.0,100,0
wuf20-0636.mwcnf,54.004744976126375,8,0
wuf20-0287.mwcnf,36.09413148992499,36,0
wuf20-0909.mwcnf,60.80453359719348,3,0
wuf20-0332.mwcnf,62.515718177133174,15,0
wuf20-0110.mwcnf,32.27392372948545,1,0
wuf20-0885.mwcnf,60.958013150598106,21,0
wuf20-0521.mwcnf,41.4200328407225,25,0
wuf20-0123.mwcnf,40.181086519114686,40,0
wuf20-0646.mwcnf,88.25319510537048,53,0
wuf20-0508.mwcnf,64.00830182475752,22,0
wuf20-0867.mwcnf,100.0,100,0
wuf20-0689.mwcnf,62.982494306400625,3,0
wuf20-0529.mwcnf,41.88112060466645,6,0
wuf20-0940.mwcnf,68.64300254452927,31,0
wuf20-030.mwcnf,62.13703087885986,7,0
wuf20-0682.mwcnf,63.237021733406245,16,0
wuf20-0519.mwcnf,100.0,100,0
wuf20-0712.mwcnf,100.0,100,0
wuf20-0372.mwcnf,56.567845863467326,14,0
wuf20-0408.mwcnf,73.58390119250426,53,0
wuf20-0450.mwcnf,48.642283636363636,13,0
wuf20-0175.mwcnf,61.74603889088945,47,0
wuf20-0538.mwcnf,60.36403460738145,6,0
wuf20-097.mwcnf,54.594854710346105,11,0
wuf20-0344.mwcnf,70.5358049211078,41,0
wuf20-0202.mwcnf,62.562127464465846,11,0
wuf20-0916.mwcnf,48.726478204574875,12,0
wuf20-0547.mwcnf,52.20432220039292,52,0
wuf20-0565.mwcnf,69.84352952546632,17,0
wuf20-0331.mwcnf,56.01554907677357,31,0
wuf20-0416.mwcnf,42.640196251991604,0,0
wuf20-0841.mwcnf,73.08910891089108,46,0
wuf20-0820.mwcnf,50.263007813946594,5,0
wuf20-0740.mwcnf,80.02444987775061,80,0
wuf20-0543.mwcnf,68.12577792335408,68,0
wuf20-0946.mwcnf,70.10223661529345,1,0
wuf20-0220.mwcnf,55.42401059290864,14,0
wuf20-01000.mwcnf,100.0,100,0
wuf20-0139.mwcnf,45.20429264936356,5,0
wuf20-0980.mwcnf,99.85714285714286,99,0
wuf20-0575.mwcnf,70.81120916259857,11,0
