Formula,avg % of optimum found,exact optimums found,blunders
wuf75-016.mwcnf,54.21026072329689,1,0
wuf75-067.mwcnf,48.262534544018955,0,0
wuf75-084.mwcnf,57.55407969639468,0,0
wuf75-019.mwcnf,76.29130434782608,24,2
wuf75-041.mwcnf,49.25853658536585,7,0
wuf75-040.mwcnf,31.145299145299145,1,38
wuf75-013.mwcnf,49.68022827687776,1,0
wuf75-035.mwcnf,36.970064894285116,0,0
wuf75-043.mwcnf,69.55419156840576,0,0
wuf75-090.mwcnf,37.81975827640567,0,1
wuf75-069.mwcnf,50.23972684796933,1,0
wuf75-092.mwcnf,43.65192842251564,0,0
wuf75-044.mwcnf,44.929577464788736,1,0
wuf75-086.mwcnf,58.58350951374207,4,0
wuf75-071.mwcnf,46.38052541916973,2,0
wuf75-029.mwcnf,68.18540170369133,0,0
wuf75-033.mwcnf,38.73438767234388,1,0
wuf75-012.mwcnf,45.331828442437924,3,24
wuf75-042.mwcnf,33.29712309385317,0,0
wuf75-080.mwcnf,52.90868904544826,0,0
wuf75-059.mwcnf,66.40068719439672,0,0
wuf75-096.mwcnf,49.55493133583022,0,0
wuf75-026.mwcnf,61.407917383820994,2,0
wuf75-047.mwcnf,52.557484103797904,0,0
wuf75-010.mwcnf,49.77350917431193,0,0
wuf75-05.mwcnf,51.927692307692304,0,2
wuf75-072.mwcnf,61.32190989603389,1,0
wuf75-017.mwcnf,52.20292347377472,0,0
wuf75-030.mwcnf,74.23259412068077,10,5
wuf75-075.mwcnf,49.541670564025814,2,0
wuf75-058.mwcnf,37.42368610511159,0,0
wuf75-085.mwcnf,44.15573494786411,0,0
wuf75-050.mwcnf,54.392201314894585,0,0
wuf75-0100.mwcnf,40.558192606115924,0,0
wuf75-034.mwcnf,63.730834432096444,0,0
wuf75-018.mwcnf,59.333921093233414,0,0
wuf75-023.mwcnf,54.073078538429236,0,0
wuf75-097.mwcnf,50.695268138801254,0,14
wuf75-020.mwcnf,54.65731343283582,0,0
wuf75-022.mwcnf,49.75431687367464,0,0
wuf75-094.mwcnf,58.122798434442274,0,0
wuf75-093.mwcnf,52.78380734444808,0,0
wuf75-052.mwcnf,68.61261261261261,0,7
wuf75-056.mwcnf,52.48201275045537,0,0
wuf75-021.mwcnf,41.91232356134637,0,0
wuf75-076.mwcnf,57.48018150273589,0,0
wuf75-049.mwcnf,54.1989239046887,0,0
wuf75-027.mwcnf,46.06235997012696,0,0
wuf75-064.mwcnf,63.396394485683984,0,0
wuf75-061.mwcnf,71.90619244935543,7,0
wuf75-070.mwcnf,54.49912263599143,0,0
wuf75-038.mwcnf,56.663888888888884,2,0
wuf75-039.mwcnf,47.54700515668385,0,0
wuf75-04.mwcnf,49.08537782139352,3,22
wuf75-074.mwcnf,49.82583932853717,0,0
wuf75-068.mwcnf,39.892145929584196,0,0
wuf75-01.mwcnf,42.95931987923089,0,0
wuf75-078.mwcnf,56.94990366088632,0,0
wuf75-032.mwcnf,40.4638418079096,1,0
wuf75-065.mwcnf,49.356914893617024,0,0
wuf75-082.mwcnf,34.77425137072965,0,0
wuf75-054.mwcnf,55.734329277683656,0,0
wuf75-066.mwcnf,54.95040056550424,0,0
wuf75-08.mwcnf,45.84746996723698,0,3
wuf75-057.mwcnf,41.834705882352935,0,3
wuf75-031.mwcnf,48.780748663101605,0,0
wuf75-046.mwcnf,59.679487179487175,16,2
wuf75-011.mwcnf,54.828834484201714,1,0
wuf75-028.mwcnf,54.38333333333333,1,0
wuf75-081.mwcnf,60.561423220973786,1,0
wuf75-024.mwcnf,58.79697305278701,0,0
wuf75-079.mwcnf,42.1110529986053,0,0
wuf75-073.mwcnf,43.361762272476554,0,0
wuf75-089.mwcnf,48.901655306718595,0,0
wuf75-09.mwcnf,57.42315562735595,0,0
wuf75-099.mwcnf,72.30558276199804,0,0
wuf75-088.mwcnf,69.56131242861593,1,0
wuf75-015.mwcnf,36.742202079445484,2,0
wuf75-025.mwcnf,58.249341527655844,0,0
wuf75-048.mwcnf,67.92793196060877,0,0
wuf75-063.mwcnf,51.51462897526501,3,0
wuf75-037.mwcnf,50.970193740685545,0,2
wuf75-060.mwcnf,60.9624090541633,0,0
wuf75-036.mwcnf,46.53617021276595,0,0
wuf75-03.mwcnf,69.06397306397307,40,8
wuf75-014.mwcnf,37.97900673664421,2,0
wuf75-051.mwcnf,50.69813176007866,4,10
wuf75-087.mwcnf,53.33202918473089,0,0
wuf75-083.mwcnf,62.64067796610169,2,0
wuf75-06.mwcnf,82.04738955823294,0,0
wuf75-098.mwcnf,46.942770288131115,0,0
wuf75-053.mwcnf,70.09070893879348,0,0
wuf75-055.mwcnf,42.2712962962963,6,24
wuf75-091.mwcnf,44.42564102564103,6,1
wuf75-077.mwcnf,47.2918571028822,0,0
wuf75-095.mwcnf,47.61877782274383,0,0
wuf75-07.mwcnf,67.78883041928366,6,1
wuf75-02.mwcnf,47.5543894719307,0,0
wuf75-045.mwcnf,24.72659609659279,2,0
wuf75-062.mwcnf,65.02404526166903,10,1
TOTAL,52.611212666776545,177,170
